מַחְשֵׁב; כַּמְבְּיוּתֵר كمبيوتر
בהלה, פניקה, חרדה טרם נבדק; פַזַע فَزَع
כבוד, הוקרה, הדרת פנים טרם נבדק; וַקַאר وَقَار
סַפִּיר, אבני חן; יַאקוּת يَاقُوت
התעמק טרם נבדק; תְמַעַّן تْمَعَّن
גלות, גולה, גירוש טרם נבדק; מַנְפַא مَنْفَى
התרסק טרם נבדק; תְחַט-טַם تْحَطَّم
מסובך, מעורב (בפשע) טרם נבדק; מִתְוַרّט مِتْوَرِّط
התמיד, שקד טרם נבדק; תַ׳אבַּר ثَابَر
שוחרר, נמלט, חמק טרם נבדק; פַלַת فَلَت
הוֹצִיא את, עָקַר, הֵסִיר; נַזַע نَزَع
אמצע, חצי, מחצית; מֻנְתַצַף مُنْتَصَف
מה הקטע?, מה קורה?, מה הבעיה?; שוּ (אל)דַّעְוֵה شُو الدَعْوة
זה את זה, אחד את השני (ספרותית); בַּעֶצְ׳הֹם אֶל-בַּעֶץ׳ بَعْضْهُم البَعْض
יָזַם; רַאאֶד אַעְמָאל رَائِد أَعْمَال
מוביל, חלוץ, פורץ דרך; רָאאֶד رَائِد
היה אומלל טרם נבדק; שַקִי شَقِيَ
אומללות, עליבות, מסכנות טרם נבדק; שַקַאא شَقَاء
פראייר, פתי; מֻעַ׳פַّל مُغَفَّل
על סמך, בהתבסס, על בסיס טרם נבדק; בִּנָאאً עַלַא بِنَاءً عَلَى
במוקדם או במאוחר טרם נבדק; עַאגִ׳לַאן אַם אַגִ׳לַאן عاجلاً أم آجلاً
למרבה המזל טרם נבדק; מִן אלְחַסַן אלְחַ׳ט׳ مِـن الحَسَـن الحَـظ
כולל, לרבות טרם נבדק; בִּמַא פִיהֹם بِمَا فِيهُم
בן סורר ומורה טרם נבדק; עַאקّ عَاقّ
המום, בשוק טרם נבדק; צַעִק صَعِق
פשיטת רגל טרם נבדק; אִפְלַאס إِفْلَاس
סמוי, נסתר, חשאי טרם נבדק; חַ׳פֵיّ خَفِيّ
בתוך, בקרב; צִ׳מְן ضِمْن
קֻרְאַן; מֻצְחַף مُصْحَف
חסד, מעשה טוב, צדיקות טרם נבדק; בִּרّ بِرّ
מונותאיזם, ייחוד האל; תַוְחִיד توْحِيد
בוודאי, בהחלט, בהכרח טרם נבדק; חַתְמַאً حَتْمًا
ענד את, לבש את טרם נבדק; אִרְתַדַא اِرْتَدَى
לעזאזל, לכל הרוחות, למען השם; בִּחַק אֵלְגַ׳חִים بِحَق الجَحِيم
נהפך, נעשה, נהיה טרם נבדק; אִצְבַּח أَصْبَح
חטיבה (בצבא) טרם נבדק; לִוַאא لِوَاء
מזוודה, ילקוט, תיק טרם נבדק; חַקִיבַּה حَقِيبَة
מחלה טרם נבדק; דַאא دَاء
המציא את, יצר את טרם נבדק; אַוְגַ׳ד أَوْجَد
מזון, אוכל טרם נבדק; עִ׳דַ׳אא غِذَاء
ירושה; מִירָאת׳ مِيرَاث
ציוד, כלים, מכשירים טרם נבדק; מֻעַדַّאת مُعَدَّات
הכותל טרם נבדק; חָאאֶט אֶלְמַבְּכָּא حائط المبكى
הר הבית טרם נבדק; גַ׳בֵּל אֵלְהַיְכַּל جبل الهيكل
שבב, צ׳יפ טרם נבדק; רֻקַאקַה رُقَاقَة
הגיע הזמן, הגיע הרגע טרם נבדק; חַאן (א)לְוַקֵת حَان الوَقِت 
מפגין טרם נבדק; מֻתָטַ׳אהִר مُتَظَاهِر
בלתי הפיך טרם נבדק; לַא רַגְ׳עַתִ פִיהַ لا رَجْعَة فِيه
דימוי, מטאפורה טרם נבדק; תַשְבִּיהְ تَشْبِيه
פרובוקטיבי، מתגרה; מֻסְתַפֵזّ مُسْتَفِزّ
אגדי טרם נבדק; אֻסְטוּרִיّ اُسْطُورِيّ
בוז ,זילות, ביזיון; אִזְדִרַאא اِزْدِرَاء
נעלם, דעך, התפוגג, נכחד; תַלַאשַא تَلَاشَى
נזילות, נוזליות; סֻיוּלֵה سُيُولة
בלי יוצא מן הכלל טרם נבדק; בִּדוּן אִסְתִתְ׳נַאאַאת بِدُونِ اسْتِثْنَاءَات
לכל כלל יש יוצא מן הכלל טרם נבדק; לַכֻּל קָאעִדַתִין אִסְתִתְ׳נַאא لِكُلّ قَاعِدَةٍ اسْتِثْنَاء
מאוד, עד מאוד טרם נבדק; לִלְעַ׳איַה لِلْغَايَة
סודי ביותר טרם נבדק; סִרִי לִלְעָ׳איַה سِرِي لِلْغَايَة
דעה קדומה, משוא פנים, העדפה; תַחַיֹّז تَحَيُّز
קונספירציה, קנוניה, מזימה טרם נבדק; מֻאַאמַרַה مؤامرة
אינפלציה טרם נבדק; תַצַ׳חֹ׳ם מָאלִי تَضَخُّم مَالِيّ
התקף לב טרם נבדק; נוֹבֶּה קָלְבִּיַה نوبة قلبية
שטיפת מוח טרם נבדק; עַ׳סִיל דִמָאע׳ غَسِيل دِمَاغ
אליבי טרם נבדק; אֵדַّפְע בִּאלְע׳ֵיבֵּה اَلدَّفْع بِالْغَيْبَة
נחישות, התמדה, התעקשות טרם נבדק; אִצְרָאר إِصْرَار
שרד, נִצָל, נמלט טרם נבדק; נָגַ׳א نَجَا
פלא, נס טרם נבדק; אַעְג׳וּבַּה أُعْجُوبَة
תחמושת; דַ׳חִ׳ירֵה ذَخِيرِة
נשגב; עַלִי علي
הסיר, הוריד; קַאם قام
יאללה, בוא; יַלַّא يلّا
חיבה, אַהֲבָה; מַחַבֵּّה محبّة
שקר; כִּדֵ׳בּ كذب
נרגע, נחה דעתו; תְטַמַّן تطمّن
היה, נשאר (להגים כפריים); בַּקַא بقى 
תוף, דרבוקה; טַבְּלֵה طبلة
פועלים, עובדים; עֻמַّאל عمّال
הטעה; צַ׳לַّל ضلّل
כמה! מה רב! (מילת קריאה שמציינת כמות גדולה); יַאמַא يَامَا
מקום; מַטְרַח مَطْرَح
בלי הרף; עַמַאל عَمَّال
מוח, שכל; דִמַאע׳ دماغ
יִיפה, קישט; גַ׳מַّל جمّل
בירך (על הישג, הצלחה); הַנַّא هنّى
הגיש מתנה; הַדַא هدى
עומד; וַאקֵף واقف
קוֹרֶה; צַאיֵר صايِر
עיקם; טַעַג׳ طعج 
בסיסי; אַסַאסִי اساسي
חִיפּוּשִׁית; חֻ׳נְפֻסֵה خُنْفُسِة
הִשְׁקָה; סַקַא سقى
גבעול (חלק בצמח)

טרם נבדק; עֻנקוּד عنقود
זַחַל (שלב התפתחותי של חרק); יַרַקַה يرقة
פָּחַת (ירד בכמות); קַלّ قلّ
אלימות; עֻנְף عُنْف
אשליות; אַוְהַאם اَوْهَام
פיזר, חילק; וַזַّע وزّع
סְחוֹרָה; בְּצַ׳אעַה بضاعة
תלוי (בסיטואציה); בִּיתְעַלַّק بيتعلّق
פֵּירֵק; פַכּّ فكّ
נָמֵל; מִינַא مِينَا
שטח; מַסַאחָה مساحة
נָעַל (סגר במנעול); קַפַל قَفَل 
אדיב, מנומס; אַדִיבּ أديب
גרב; כַּלְסֵה كلسة 
דגל הגאווה; ע‏ַלַם אֵלְפַחֵ׳ר علم الفخر
הצלה; אִנְקַאד׳ إنقاذ 
ביטחון עצמי; תִ׳קַה בּ(אל)נַّפְס ثقة بالنفس
מפית; מָנְדִיל منديل
תחפושת; תָנַכֹּר تنكّر
דיו (חומר); חִבְּר حِبْر
אוצר; כַּנְז كنز
כּוֹחַ, עוצמה; קֻוֵّה قُوِّة
מַסַר (לידי); סַלַّם سلّم
מוטרד, סובל; מְצַ׳יֵק (מן) مضَيّق (من)
הִנְמִיךְ; וַטַא وطّى 
נמוך יותר (לדומם); אַוְטַא اوطى
הִגְבִּיר; עַלַّא علّى
עִינָּה; עַדַّ׳בּ عذّب
הגיוני, רציונלי; מַנְטִקִי منطقي
רשם; סַגַّ׳ל سجّل
שכלתנות, רציונליזציה; מַנְטִקִיֵّה منطقيّة
רְשׁוּת; אִדֵ׳ן إذن
רָשָׁם (תפקיד); מְסַגֵّ׳ל مسجّل
תמימות; סַדַ׳אגַ׳ה سذاجة
תמים, פתי; סַאדֵ׳ג׳ ساذج
שעון מעורר; מֻנַבֵּّה مُنَبِّه
הגיון; מַנְטֵק منطق
סילוק, גירוש; טַרְד طرد
לוח שנה; רֻזְנַאמֵה رزنامة 
שכיחוּת, התפשטות; אִנְתִשַאר انتشار
נִשְׁפַּךְ; אִנְכַּבּّ إنكبّ
נפצע; אִנְגַ׳רַח إنجرح
נָמָס; דַ׳אבּ ذَاب
קעקוע; וַשֵם وشم 
תָּפֵל, חסר ערך; תַאפֵהְ تافه
תכשיטים; מֻגַ׳וְהַרַאת مجوهرات
מוֹדָעָה; אִעְלַאן إِعْلَان
ריחם; שִפֵק شفق 
זז; תְחַרַّכּ تحرّك
יונה; חַמַאמֵה حمامة
הִצְטַלֵּם; תְצַוַّר تصوّر
סימן; דַלִיל دَلِيل
זָז; זַאח زَاح
פָּצַע; גַ׳רַח جَرَح
מַצִּיל (מקצוע); מֻנְקֵד׳ منقذ
טאטא; כַּנַّס كنّس
חידה; חֻזֵירֵה حُزِيرِة
הִתְמַקֵּח; פַאצַל فاصل
הִכְרִיז; אַעְלַן اعلن
זָרִים (לא מכאן); אַגַ׳אנֵבּ أَجَانِب
ריסוס, התזה; רַשّ رشّ
התחייבויות; אִלְתִזַאמַאת التزامات
הכרחי, נחוץ; צַ׳רוּרִי ضَرُورِي
ממהר; מִסְתַעְגֵ׳ל مستعجل
שיוויון; מֻסַאוַאה مساواة
הפיק תועלת; אִסְתַפַאד إستفاد
הִתְיַיקֵר; עִ׳לִי غلي
הִשְתַחְרֵר (מהצבא); תְסַרַّח تسرّح
בתי-שימוש, שירותים (רבים של מרחאץ׳); מַרַאחִיץ׳ مراحيض
שירותים (רבים של שירות); חִ׳דְמַאת خدمات
אוצרות; כְּנוּז كنوز
הִגְדִיר; חַדַّד حدّد
תעלול או ממתק (Trick-or-treat); חֻ׳דְעַה אַם חַלְוַא خدعة أم حلوى
זרים, מערביים, לא ערבים; חַ׳וַאגַ׳את خواجات
שרת (במחשבים); חַ׳אדֵם خادم
תכשיט, אבן חן; גַ׳וְהַר جوهر
בוגר; רַאשֵד راشد
טייל, שוטט, נדד; תְגַ׳וַّל تجوّل
תּוֹצָאוֹת; נַתַאיֵג׳ نَتَايِج
הרשות הפלסטינית; אֵ(ל)סֻّלְטַה (א)לְפַלַסְטִינִיֵّה السّلطة الفلسطينيّة
זך, צלול; צַאפִי صافي
נכנס; חַ׳שّ خشّ
שפה זרה; לֻעַ׳ה אַגְ׳נַבִּיֵّה لغة اجنبيّة
במרחק זריקת מקל, מרחק קצר; מַרְמַא עַצַא مرمى عصا
מקל; עַצַא عَصَا
נִיגֵב; מַסַח مسح
סט, ערכה; טַקְם طقم 
פֶּצע; גַ׳רְח جَرْح
העז; אִסְתַרְגַ׳א إسترجى
פִּירְסֵם; אַעְלַן أعلن
הסגיר (מישהו ל...); סַלַّם سلّم
דַּק (לא עבה); רַקִיק رَقِيق
משאלה; אֻמְנִיֵה أمنية 
מַסֵּכָה (מסיכת פה רפואית); כַּמַّאמֵה كَمَّامِة
יונים; חַמַאם حمام
זילזל, ראה כלא רציני; אִסְתַחַ׳ףّ إستخفّ 
מיהר; אִסְתַעְגַ׳ל إستعجل 
התחפש; תְנַכַּّר تنكّر
חִימֵּם; דַפַّא دفّى
כוח; חֵיל حيل
הִבְהִיל; נַקַّז نقّز
פִּיצוּי; תַעְוִיץ׳ تعويض
הֶעְתֵּק; נֻסְחַ׳ה نُسْخَة 
נִבְהַל; נַקַז نقز
כָּפַה (על מישהו); פַרַץ׳ فرض
קרן (של בעל חיים); קַרְן قرن 
הִדְרִיךְ, הִנְחָה; אַרְשַד أرشد 
סדר, משטר; נִטָ׳אם نظام
הימנעות; אִמְתִנַאע إمتناع
בָּזִילִיקוּם, רֵיחָן (ירק תיבול ריחני); רִיחַאן رِيحَان
התחייבות; אִלְתִזַאם التزام
התפשט, התרחב, הופץ; אִנְתַשַר إنتشر
פִּירְסֵם, הֵפִיץ; נַשַר نشر
ניער (מלכלוך, אבק); נַפַץ׳ نفض
התנער, התעורר (מתרדמה, אדישות); אִנְתַפַץ׳ انتفض
התעוררות, התקוממות (מילולית - התנערות); אִנְתִפָאצָ׳ה انتفاضة
זר, מערבי, לא ערבי; חַ׳וַאגֵ׳ה خواجة
הֵצֵר; צַ׳יַّק ضيّق
מתחייב; מֻלְתַזֵם ملتزم
קוים; חְ׳טוּט خطوط
עכור; מֻעַכִּّّר مُعَكِّر
חִיֵּיב; לַזַם لَزَم
שֵׂכֶל יָשָׁר, שְׁפִיּוּת; רֻשְד رشد
חוֹתֶמֶת; חַ׳תֵם ختم
קֵירֵר; בַּרַّד برّد 
חוסר שיוויון; עַדַם אֵלְמֻסַאוַאה عدم المساواة
קַרְנַף; וַחִיד אִלְקַרְן وحيد القرن
מְחִיאוֹת כַּפַּיִים; זַקֵף زقف
הועיל; אַפַאד افاد
חִיפּוּשִׁיוֹת; חַ׳נַאפֵס خَنَافِس
ג׳ונגל; אַדְעַ׳אל ادغال
טֵרֵף; פַרִיסֵה فريسة
לעס; מַצַ׳ע׳ مضغ
גאוני, מבריק; בַּאהֵר باهر
חלקים; אַנְחַאאְ انحاء
התאפשר; צַחّ صحّ
חץ (כסימן ובהשאלה); סַהְם سهم
שפשף; פַרַכּ فرك
הביט, התבונן; בַּחַّר بحّر
הוריד, הנמיך; הַבַּّט هبّط
נדהם, מופתע; מַדְהוּש مدهوش
מיושב, מאוכלס; מַאְהוּל مأهول
חידה, תעלומה; לֻעֻ׳ז لغز
קרניים (של בעל חיים); קְרוּן قرون
היטה, הרכין; חַנַא حنا
הַגְדָּרָה; תַחְדִיד تحديد
דימיוני, בידיוני, פיקטיבי; חַ׳יַאלִי خَيَالِي
התלחשש; תְוַשְוַש تْوَشْوَش 
לחישה; וַשְוַשֵה وَشْوَشِة 
הפר, עבר על החוק; חַ׳אלַף خالف
הֵמֵס (גרם שיימס); דַ׳וַّבּ ذَوَّب 
מיסתורי; עַ׳אמֵץ׳ غَامِض
קו המשווה; חַ׳טّ אֵלְאִסְתִוַאאְ خَطّ الاسْتِواء
נִיצּוֹל (אדם ששרד אסון); נַאגִ׳י نَاجِي
נִיצּוֹלִים; נַאגִ׳ין نَاجِين
הִשְׂכִּיר (נתן בשכירות); אַגַّ׳ר أَجَّر
בּוֹר (חור באדמה); חֻפְרַה حُفْرَة 
חיוור (אדם שפניו לא נראים במצב טוב,נראה חולה); שַאחֵבּ شاحِب
קָשוּר (רגשית אל מישהו); תְעַלַק تعلّق
הֶעֱתִיק, שִׁיכְפֵּל (יצר העתק); נַסַח׳ نَسَخ
חידות; חַזַאזִיר حَزَازِير
בור, נבער; עַ׳שִים غَشِيم
שֶל (ששייך ל....); שֵית شِيت
באופן אישי; בִּ(אל)דַّ׳את بِالذَّات
שקיות; כְּיַאס كْيَاس
רְעָפִים (אריח לכיסוי גגות); קַרְמִיד قَرْمِيد
רתיחה; עַ׳לַיַאן غَلَيَان
נוֹכְחוּת (בשיעור, בהרצאה); חֻצ׳וּר حضُور
תְפוּצָה; אִנתִשַאר انتشار
רימה (הונה, הוליך שולל)

טרם נבדק; עַ׳דַר غدر
מפלט, מקום מבטחים טרם נבדק; מלאד׳ مَلَاذ
אֵמוּן, בִּיטָּחוֹן (אמון או ביטחון במישהו/במשהו); תִ׳קַה ثِقَة 
הריע, קרא בקול; הַתַף هَتَفَ
תרועות, קריאות; הֻתַאף هُتَاف‎
צוותים; טַוַאקֵם طواقم
הבחין, שם לב; לַמַח لمح
חד קרן; אֻחַאדִי (א)לְקַרְן أحادي القرن
כֶּלֶב נְחִיָּה; כַּלְבּ אִרְשַאד كلب ارشاد
מבדר, משעשע; מְסַלִﬞי مسلّي
פִּיהוּק; תַתַ׳אאֻבּ تثاؤب
פִּיהֵק; תְתַ׳אוַבּ تثاوب
זְמָם, רֶסֶן (מחסום פה של בעל חיים); כַּמַّאמֵה كمّامة
חֶמְלָה; שַפַקַה شفقة
השתלט; תְסַלַّט تسلّط
ריסס, התיז; רַשّ رشّ
טַרַף; אִפְתַרַס افترس
נִימוּס; אַדַבּ أَدَب
סימנים; אַדִלֵﬞה أَدِلَّة
הוכחות; אַדִלֵﬞה أَدِلَّة
מימוש, הגשמה; תַחְקִיק تحقيق
מִשְׁמַעַת; אִנְצִ׳בַּאט انضباط
עֵשֶׂב, מָרִיחוּאָנָה (בסלנג: וויד, גראס)

טרם נבדק; חֻ׳צ׳אר خُضَار
טריק, תעלול; חֻ׳דְעַה خدعة
אַשְׁלָיָה; וַהְם وهم
שׁוֹטְטוּת, נְדוּדִים; תַגַ׳וֻّל تجوّل
משאלות; אַמַאנִי أَمَانِي
רשמקול, טייפ; מְסַגֵﬞ׳ל مسجّل
תאונות; חַוַאדֵת׳ حوادث
דימיוני; וַהְמִי وهمي
הגיע לו, היה ראוי ל (פרס, עונש); אִסְתַאהַל استَاهَل
הקליט; סַגַﬞ׳ל سجّل
שפל, לא מוסרי; וַאטִי واطي
נָחוּת; וַאטִי وَاْطِي
הוראות שימוש; אִרְשַאדַאת אֵלְאִסְתִעְמַאל إرْشادات الاسْتِعْمال
הדרכה, הנחיה, הוראה; אִרְשַאד ارشاد
ביקש רשות; אִסְתַאְדַ׳ן اسْتَأْذَن
משכיר; מְאַגֵّ׳ר مؤجّر
קליטה; אִסְתִיעַאבּ استيعاب
חוסר, מחסור; נַקְץ نقص
חִיפָּזוֹן; עַגַ׳לֵה عجلة
הֲפָקַת תּוֹעֶלֶת; אִסְתִפַאדֵה استفادة
המשיך; תַםّ تمّ
עקב, הלך אחרי; תַבַּע تبع
עוקב, הולך אחרי; תַאבֵּע تابع
מגיע לו, ראוי; מִסְתַאהֵל مستَاهل
תָּלַשׁ, מָרַט; נַתַף نتف
מִטְפַּחַת; מָנְדִיל منديل
נֶהֱפָךְ; תְחַוַّל تحوّل
רַעַשׁ, הֲמוּלָּה; צַ׳וְצַ׳אאְ ضوضاء
הִתִּיר, שִׁיחְרֵר; פַכּّ فكّ
נֶעֱקַר; אִנְקַלַע انقلع
עוֹקֵב; מֻתַאבֵּע متابع
זילזול; אִסְתִהְתַאר استهتار
במשך; עַלַא מַדַאר على مدار
מוּכָּר טרם נבדק; מָאלוּפ مَأْلُوْف 
רוכש, קונה; שַארִי شاري
נְזִיפָה, תּוֹכֵחָה; עְתַאבּ عْتَاب
הָיְיתָה; כַּאנַת كانت
עכשיו (באזור המשולש); הַסַّא هسّا
פקולטה; כֻּלִّיֵّה كلّيّة
הִסִּיק; אִסְתַחְ׳לַץ اِستَخلَصَ
חבל; חְ׳סַארַה خسارة
בעצמי, לבד (אני); לַחַאלִי لحالي
אוי, וואו, עד כדי כך; וַלַו ولو
בֵּין; בֵּין بين
אולי (שיבוש של بلكي); בַּרְכִּי بركي
בְּלִי סִיבָּה; בִּדוּן סַבַּבּ بدون سبب
השבח לאל; סֻבְּחַאנִ אלְלַّה سبحان الله
שלכת, עלי שלכת; אַוְרַאק אִלְחַ׳רִיף أوراق الخريف
שיכור; סַכְּרַאן سكران
צְחוֹק; מַזֵח مزح
לוח; לוֹח لُوح 
שחט; סַלַח׳ سلخ
נוזל; סַאאֵל سائل
עיוורת; עַמְיַא عميا
עזרה, סיוע; נַגְ׳דֵה نجدة
נוֹצָה; רִישֵה رِيشِة
עמוס, אינטנסיבי; מְכַּתַّ׳ף مكثّف
הִשְׁקִיעַ; בַּדַ׳ל بذل 
משתלה; מַשְתַל مشتل
פעמונים; אַגְ׳רַאס اجراس
הלך לאיבוד, איבד דרכו; תַאהְ تاه 
אִבְטֵחַ; אַמַّן امّن 
מיזוג, שילוב; דַמְג׳ دمج
בִּילּוּי, בידור; תַרְפִיהְ ترفيه
נאמנות; אִחְ׳לַאץ اخلاص 
הִשְתַעֵל; קַחّ قحّ 
ניצוץ; שַרַארַה شرارة
שִיעוּל; קַחַّה قَحَّة
הִשְׁתִין; שַחّ׳ شخّ 
בידור, שעשוע; תִסְלַאיֵה تِسْلَايِة
עילה; חִגֵّ׳ה حجّة 
עִיצֵּב; צַמַّם صمّم
עִיצּוּב; תַצְמִים تصميم
עיקשות; מֻעָאנָדֶה معاندة
עיצוב גרפי;  תַצְמִים בַּיַאנִי تصميم بياني
כִּישְּׁרוֹנִי; מַוְהוּבּ مَوْهُوب
קמע; חִגַ׳אבּ حجاب 
ילדה, הביאה ילד לעולם; חַ׳לַّפַת خلّفت 
סיכום; תַלְחִ׳יץ تلخيص
ועד העובדים; לַגְ׳נֵת אִלְמֻסְתַחְ׳דִמִין لجنة المستخدمين
נָשָֹך; עַץ׳ عضّ 
נשען על, סמך על; אַרְכַּן עַלַא أَركَن على
נָשָׁר; סַקַט سقط
נמאס; חַאגֵ׳ה حاجة
קשיוּת; צַלַאבֵּה صلابة
הִתְאַפֵּר; תְמַכְּיַג׳ تْمَكْيَج
סופות; זַוַאבֵּע زوابع
נוֹצוֹת; רִיש رِيش
אהבה (אהבה עזה); עִשְק عِشْق
נפוץ; שַאאֵע شائع
פתאום, בהפתעה; עַלַא עַ׳פְלֵה على غفلة
שק (גדול וכבד); שְוַאל شوال 
קרחת; צָלָע صلع
צפרדע; צַ׳פְדַעַה ضفدعة
מעצב; מֻצַמֵّם مصمّم
תָּרַם; תְבַּרַّע تبرّع
ציפורן; אֻטְ׳פֻר أظفر
גורם; עַאמֵל عامل
כיור (מטבח); מַגְ׳לַא مجلى
תא; חַ׳לִיֶّה خليّة
הִצְטָרֵף; אִנְצַ׳םّ إنضمّ
צחק, התבדח; מַזַח مزح
תִרְגֵל; תְמַרַّן (עלא) تمرّن (على)
פסימי, פסימיסט (מציג תפיסת עולם שלילית); מִתשַאאֵם مِتْشَائِم
תזונה; תַעְ׳דִ׳יֵّה تغذية
חביתה; עִגֵّ׳ה عجّة
ג׳וק, תיקן; צַרְצוּר صَرْصُور
תחביבים; הִוַאיַאת هوايات
טבלאות; לַוְחַאת لوحات
תקן, סטנדרט, קריטריון; מִעְיַאר معيار
טוקבק (תגובה); תַעְלִיק تعليق
הִתְבַּלְבֵּל; תְחַ׳רְבַּט تخربط
ערכים; קִיַם قيم
בִּילְבֵּל; חַ׳רְבַּט خَرْبَط
התלהב; תחַמַّס تحمّس
פעוטון, מעון, גנון; חַצַ׳אנֵה حضانة
ניכר, בולט; מַלְחוּט׳ ملحوظ
נוזלים; סַוַאאֵל سوائل
לכן, כתוצאה מכך (בספרותית); לִדַ׳אלֵכּ لذالك
אויבים; אַעְדַאא اعداء
וַעַד, וַעֲדָה (קבוצת אנשים לדיון וקבלת החלטות); לַגְ׳נֵה لَجْنِة 
השקיע מאמצים; בַּדַ׳ל גֻ׳הוּד بذل جهود
הִשְׁקִיעַ (כסף); אִסְתַתְ׳מַר إستثمر
השקעה (כספית); אִסְתִתְ׳מַאר إِسْتِثْمَار
איפור; מִכְּיַאג׳ مِكْيَاج
שֵד; גִ׳ןّ جنّ
שֶד; עַפְרִית عفريت 
מתנגד; מֻעַארֵץ׳ معارض 
מונח, ביטוי; מֻצְטַלַח مصطلح
סופות, סערות; עַוַאצֵף عواصف
סוֹעֵר (מזג אוויר); עַאצֵף عاصف
הביע, ביטא; עַבַּّר عبّر 
הֵד; צַדַא صَدَى
הִשְׁתַּכֵּר (נהיה שיכור); סִכֵּר سِكِر
מתח, מתיחות; תַוַתֻّר توتّر
הקיא; נַתַק نتق
הקאה; אִסְתִפְרַאע׳ إستِفرَاغ
אֶפְרוֹחַ; צוּץ صُوص 
אפרוחים; צִיצַאן صِيصَان
מַסֵּכָה (כיסוי לפנים); קִנַאע  قِنَاع 
מפעלים; מַצַאנֵע مصانع
פִּיסְגָּה (הנקודה הגבוהה ביותר של הר); קִמֵّה قِمِّة
שימח; סַרّ سرّ
מְבוּיָּית (בעל חיים); אַלִיף أّلِيف
לוּל (תרנגולות); מַזְרַעֵת גַ׳אג׳ مَزْرَعِة جَاج
בורות, טיפשות; גַ׳הְל جَهْل
שמח; מַסְרוּר مسرور
השקפה; וֻגְהֵת נַטַ׳ר وُجْهَة نَظَر
שיתף פעולה; תְעַאוַן تعاون 
צוללן; עַ׳טַّאס غطّاس
הבטחה; עַהְד عَهْد
מַחְסָן; מַחְ׳זַן مخزن 
קמפיין, מסע תעמולה; חַמְלֵה حَمْلِة
היקום, העולם, הקיום; אִלְכַּוְן الْكَوْن
זיקית; חִרְבַּאיֶה حرباية
חייזר; מַחְ׳לוּק פַצַ׳אאִי مخلوق فضائي
קֶצֶב; אִיקַאע إيقاع
פָּנָס; פַאנוּס فانوس
נוח; מֻרִיח مريح
ראייה, השקפה, מבט; נַטַ׳ר نظر
העמיד פנים; עִמֵל חַאלוֹ عمل حاله
העמיד פנים (בערבית משכילית); תְטַ׳אהַר تظاهر
עקב (של רגל/נעל); כַּעְבּ كعب
טֵרוֹרִיסְט, מְחַבֵּל (עוסק בפעילות טרור); אִרְהַאבִּי إرهابي
כְּרוּבִית (בגליל); קַרְנַבִּיט قَرْنَبِيط
ירש (קיבל בירושה); וִרֵת ورت
יִיצֵר; צַנַע صنع 
ניחם, עודד; וַאסַא وَاسَى
כָּרִיזְמָטִי (אדם בעל קסם אישי ויכולת שכנוע); מַהְיוּבּ مَهْيُوب
שחר (מוקדם בבוקר); פַגְ׳ר فجر
הִתְאַבְּדוּת; אִנְתִחַאר إنتحار
תזונתי; עִ׳דַ׳אאִי غِذَائِي
הסתמכות; אִעְתִמַאד إعتماد
צפרדעים; צַ׳פַאדֵע ضفادع
אופטימי, אופטימיסט (מציג תפיסת עולם חיובית); מִתְפַאאֵל مِتْفَائِل
אופטימיות, אופטימיזם; תַפַאאֻל تَفَاؤُل
פסימיות, פסימיזם; תַשַאאֻם تَشَاؤُم
השקפת עולם, השקפה; נַטְ׳רַה نَظْرَة 
גורמים; עַוַאמֵל عَوَامِل
היטה, סטה מהדרך; מַיַّל مَيَّل
רִיפּוּי (הפיכה לבריא); שִפַא شِفَا
גרעינים; בִּדְ׳ר بِذْر 
צַהֲלוּלִים (״קולולו״); זַעַ׳ארִיד زَغَارِيد
לוח הכפל; גַ׳דְוַל אִ(ל)צַّ׳רְבּ جَدْوَلِ الضَّرْب
רעול פנים; מְלַתַّם ملتّم
מגדת עתידות; בַּצַّארַה  بَصَّارَة
השתלב; אִנְחַ׳רַט انخرط
הֵקִיא; אִסְתַפְרַע׳ إستَفرَغ
פֶּלֶא; עַגִ׳יבֵּה عَجِيبِة
רוחות רפאים; אַשְבַּאח أَشْبَاح
ידידותי, חברותי; אַלִיף أّلِيف
הֵרֵס, חורבן; דַמַאר دمار
התאהב (ב); עִשֵק عشق
שילב, מיזג; דַמַג׳ دمج
הפלה (של חפץ או אדם); אִסְקַאט إِسْقَاط
שתל, נטע (עץ או צמח); זַרַע زَرَع
סמך (על מישהו); רַכַּן ركن
כפול, מכופל; מֻצַ׳אעַף مُضَاعَف
רִיק, חלל; פַרַאע׳ فَرَاغ
חזר ועשה, עשה שוב; עַאוַד عَاوَد
לחש; הַמַס هَمَس
אתר בנייה; וַרְשֵה ورشة
בית מלאכה, סדנה; וַרְשֵה ورشة
סיטואציה; מַוְקֵף موقف
הוכיח; אַתְ׳בַּת أَثْبَت
קוֹסמטיקאית; חַ׳בִּירֵת תַגְ׳מִיל خبيرة تجميل
שיהוק טרם נבדק; חַזקַה حَزقَة
נתן אמון, סמך (על); וַתַ׳ק وَثَق
הכיש (נחש); קַרַץ قرص
שד, שטן; שִיטָאן شيطان
ריפוי בעיסוק; עִלַאג׳ וַטִ׳יפִי علاج وظيفي
תפקיד, משרה; וַטִ׳יפֵה وظيفة
זָחַל (התקדם על גחונו); זַחַף زحف 
נעשה מתוח; תְוַתַّר توتّر
